Recipient,Supplier,Designation,Description,Weapon Category,Order Year,Number Ordered,Delivery years
Pakistan,China,FM-90 SAMS,surface-to-air missile system,Air-defence systems,2013,10,2016
Pakistan,China,Type-054A,frigate,Ships,2017,4,2023
Pakistan,United States,Perry,frigate,Ships,2010,1,2011
Pakistan,Russia,Kornet,anti-tank missile,Missiles,2017,500,2019
Pakistan,United States,APG-68,combat aircraft radar,Sensors,2011,10,2014
Pakistan,China,HQ-9 SAMS,surface-to-air missile system,Air-defence systems,2019,1,2021
Pakistan,United States,M-113,armoured personnel carrier,Armoured vehicles,2010,550,2015
Pakistan,United States,DB-110,aircraft reconnaissance system,Sensors,2011,5,2013
Pakistan,China,Azmat -,corvette,Ships,2010,2,2014
Pakistan,China,C-802,anti-ship missile,Missiles,2010,30,2014
Pakistan,United States,TOW,anti-tank missile,Missiles,2010,843,2015
Pakistan,China,CH-3,armed drone,Aircraft,2011,50,2019
Pakistan,United States,Cougar MRAP,armoured personnel carrier,Armoured vehicles,2010,20,2010
Pakistan,China,CM-400AKG,air-to-surface missile,Missiles,2010,100,2019
Pakistan,United States,King Air ISR,ground surveillance aircraft,Aircraft,2011,2,2018
Pakistan,China,J-7,fighter aircraft,Aircraft,2010,4,2010
Pakistan,Spain,ATR-72,transport aircraft,Aircraft,2012,2,2013
Pakistan,Turkiye,Moawin -,replenishment tanker,Ships,2013,1,2018
Pakistan,Ukraine,vehicle engine 1101-1500,vehicle engine,Engines,2013,110,2019
Pakistan,Jordan,AH-1F Cobra,combat helicopter,Aircraft,2013,8,2013
Pakistan,China,JF-17 Thunder -,fighter/ground-attack aircraft,Aircraft,2011,50,2018
Pakistan,United States,King Air,light transport aircraft,Aircraft,2013,1,2013
Pakistan,Jordan,F-16ADF,fighter/ground-attack aircraft,Aircraft,2013,13,2014
Pakistan,China,LY-80,surface-to-air missile,Missiles,2014,300,2018
Pakistan,China,Skyguard GR,air-search/fire-control radar,Sensors,2011,10,2012
Pakistan,United States,MaxxPro,armoured personnel carrier,Armoured vehicles,2014,350,2018
Pakistan,United States,MaxxPro,armoured personnel carrier,Armoured vehicles,2013,22,2015
Pakistan,Russia,Mi-35M,combat helicopter,Aircraft,2015,4,2018
Pakistan,Ukraine,vehicle engine 1101-1500,vehicle engine,Engines,2016,90,2023
Pakistan,United Kingdom,ship engine 4001-6000,ship engine,Engines,2013,1,2013
Pakistan,France,SA-316 Alouette-3,light helicopter,Aircraft,2013,2,2014
Pakistan,China,Azmat -,corvette,Ships,2013,2,2022
Pakistan,United States,M-113,armoured personnel carrier,Armoured vehicles,2014,500,2015
Pakistan,China,LY-80 SAMS,surface-to-air missile system,Air-defence systems,2014,3,2018
Pakistan,China,IBIS-150,air-search radar,Sensors,2014,8,2017
Pakistan,China,C-802,anti-ship missile,Missiles,2013,30,2020
Pakistan,Switzerland,Skyguard GR,air-search/fire-control radar,Sensors,2014,6,2017
Pakistan,Italy,M-113,armoured personnel carrier,Armoured vehicles,2013,622,2015
Pakistan,China,LD-10,anti-radar missile,Missiles,2011,100,2017
Pakistan,China,Z-10,combat helicopter,Aircraft,2014,3,2015
Pakistan,China,FM-90,surface-to-air missile,Missiles,2013,500,2016
Pakistan,Italy,AW-139,helicopter,Aircraft,2016,5,2017
